episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
219,105120,-13140.8156,0.385,0.3075,0.3317,0.0,456.2
220,105600,-15188.523,0.6908,-0.7525,0.6317,0.0,456.4
221,106080,-4018.9062,0.4325,0.3525,0.4092,0.0,456.5
222,106560,-7176.9323,0.3392,0.3392,0.2342,0.0,474.1
223,107040,-19448.3399,0.6808,-0.4508,0.5242,0.0,474.2
224,107520,-14048.9982,0.3667,0.3642,0.275,0.0,474.4
225,108000,-11748.9503,0.6017,-0.6792,0.5592,0.0,474.5
226,108480,-10467.2683,0.355,0.2717,0.3117,0.0,474.6
227,108960,-11787.5056,0.3367,0.3125,0.34,0.0,474.8
228,109440,-16563.3191,0.5767,-0.7858,0.6817,0.0,474.9
229,109920,-3733.3758,0.3458,0.3442,0.2433,0.0,475.0
230,110400,-5866.5662,0.3767,0.315,0.3383,0.0,475.2
231,110880,-15542.2001,0.4067,0.1117,0.405,0.0,491.8
232,111360,-10605.8956,0.5117,-0.3558,0.4783,0.0,492.0
233,111840,-13839.332,0.8142,-0.92,0.7508,0.0,492.1
234,112320,-5765.265,0.4133,0.1475,0.29,0.0,492.2
235,112800,-18989.1647,0.4983,-0.405,0.6133,0.0,492.4
236,113280,-10201.1433,0.6625,-0.8625,0.5717,0.0,492.5
237,113760,-7023.8754,0.6533,-0.0817,0.5708,0.0,492.6
238,114240,-18342.1945,0.665,-0.4883,0.5833,0.0,492.8
239,114720,-11830.5708,0.4617,0.1808,0.445,0.0,510.5
240,115200,-9492.891,0.6225,-0.8858,0.6208,0.0,510.6
241,115680,-8018.8663,0.2425,0.2475,0.2958,0.0,510.8
242,116160,-8627.0992,0.3325,0.2758,0.3287,0.0,510.9
243,116640,-9552.6498,0.4142,0.3567,0.3783,0.0,511.0
244,117120,-13991.3959,0.5367,-0.0433,0.3525,0.0,511.2
245,117600,-8811.25,0.4017,0.3317,0.2825,0.0,511.3
246,118080,-7622.5463,0.6367,-0.24,0.4696,0.0,511.4
247,118560,-9986.8348,0.4092,0.0475,0.3658,0.0,511.6
248,119040,-9255.5279,0.3967,0.36,0.3033,0.0,529.7
249,119520,-6142.6147,0.3808,0.3542,0.2867,0.0,529.9
250,120000,-18822.6599,0.7308,-0.9458,0.5588,0.0,530.0
251,120480,-14703.2207,0.1775,0.2942,0.2192,0.0,530.2
252,120960,-7909.668,0.5683,-0.4067,0.4033,0.0,530.3
253,121440,-20536.4479,0.785,-0.5783,0.56,0.0,530.4
254,121920,-18177.2483,0.6542,-0.7142,0.4342,0.0,530.6
255,122400,-13968.3632,0.3425,0.3167,0.2267,0.0,530.7
256,122880,-10567.3889,0.6267,-0.9017,0.7342,0.0,530.8
257,123360,-10140.6327,0.4625,-0.1333,0.4458,0.0,546.7
258,123840,-13508.3263,0.5767,-0.8042,0.6575,0.0,546.8
259,124320,-5373.5617,0.5233,-0.5075,0.5987,0.0,547.0
260,124800,-8754.6523,0.3492,0.305,0.2075,0.0,547.1
261,125280,-13850.5038,0.7867,-0.9425,0.6633,0.0,547.2
262,125760,-10278.2035,0.51,-0.2642,0.4517,0.0,547.4
263,126240,-8474.3184,0.5675,-0.2267,0.3829,0.0,547.5
264,126720,-5646.8994,0.2817,0.2742,0.2092,0.0,547.7
265,127200,-6679.591,0.2883,0.2575,0.3967,0.0,567.5
266,127680,-14120.2613,0.3625,0.3108,0.2225,0.0,567.7
267,128160,-8535.6512,0.3442,0.1217,0.2929,0.0,567.8
268,128640,-10345.3449,0.5125,-0.4192,0.4825,0.0,567.9
269,129120,-11839.0509,0.3792,0.3592,0.31,0.0,568.1
270,129600,-16325.4154,0.6125,-0.3242,0.4592,0.0,568.2
271,130080,-12220.8229,0.3958,0.265,0.3525,0.0,568.4
272,130560,-12533.2149,0.6083,-0.8892,0.5783,0.0,568.5
273,131040,-18165.6016,0.6442,-0.4792,0.5454,0.0,568.6
274,131520,-8741.6232,0.6867,-0.3567,0.5088,0.0,587.1
275,132000,-16776.4625,0.7208,-0.9275,0.56,0.0,587.3
276,132480,-9050.9458,0.3692,0.32,0.2942,0.0,587.4
277,132960,-12811.3253,0.8292,-0.7692,0.6667,0.0,587.6
278,133440,-11247.2274,0.4533,-0.0075,0.3517,0.0,587.7
279,133920,-14545.6947,0.465,-0.2583,0.4563,0.0,587.8
280,134400,-7160.6012,0.3617,-0.18,0.3483,0.0,588.0
281,134880,-6138.6658,0.2992,0.2958,0.245,0.0,588.1
282,135360,-10696.7819,0.4742,-0.2275,0.4888,0.0,605.3
283,135840,-6720.0254,0.6,-0.5533,0.54,0.0,605.4
284,136320,-12463.494,0.7808,-0.9167,0.7442,0.0,605.6
285,136800,-15951.5451,0.7033,-0.8133,0.7125,0.0,605.7
286,137280,-11632.8094,0.3517,0.3217,0.2758,0.0,605.8
287,137760,-19812.9098,0.6108,-0.55,0.5942,0.0,606.0
288,138240,-17231.9923,0.66,-0.9292,0.6083,0.0,606.1
289,138720,-4578.0131,0.3517,0.3225,0.3042,0.0,606.3
290,139200,-5423.9313,0.4175,0.3708,0.3083,0.0,606.4
291,139680,-13489.6431,0.6933,-0.84,0.7208,0.0,625.6
292,140160,-17996.2466,0.5542,-0.2875,0.4608,0.0,625.7
293,140640,-12673.6777,0.64,-0.7925,0.685,0.0,625.9
294,141120,-9129.136,0.7317,-0.5217,0.625,0.0,626.0
295,141600,-16275.8797,0.6392,-0.5625,0.5242,0.0,626.2
296,142080,-10981.7988,0.415,0.0525,0.4142,0.0,626.3
297,142560,-13001.5207,0.7167,-0.8625,0.6346,0.0,626.4
298,143040,-7067.8068,0.4667,0.3892,0.4142,0.0,626.6
299,143520,-8068.7485,0.4375,0.2692,0.3067,0.0,644.1
300,144000,-25406.729,0.5133,-0.5983,0.6842,0.0,644.2
301,144480,-6598.9746,0.5017,-0.3917,0.4838,0.0,644.4
302,144960,-13091.2564,0.1892,0.2475,0.2433,0.0,644.5
303,145440,-6983.9664,0.6175,-0.685,0.6017,0.0,644.6
304,145920,-16290.1339,0.3725,0.1917,0.315,0.0,644.8
305,146400,-6109.4371,0.3292,0.2642,0.2517,0.0,644.9
306,146880,-8282.4934,0.4383,-0.17,0.4138,0.0,645.0
307,147360,-10402.9712,0.6075,-0.4675,0.5867,0.0,645.2
308,147840,-16730.703,0.605,-0.6858,0.6367,0.0,663.5
309,148320,-15946.707,0.5917,-0.3567,0.545,0.0,663.7
310,148800,-9989.5796,0.7267,-0.9392,0.6008,0.0,663.8
311,149280,-9483.033,0.3233,0.3267,0.2608,0.0,664.0
312,149760,-6921.8137,0.325,0.33,0.2633,0.0,664.1
313,150240,-2276.5885,0.4108,0.1058,0.3525,0.0,664.2
314,150720,-9919.3747,0.3825,0.0333,0.3329,0.0,664.4
315,151200,-11744.848,0.2225,0.2192,0.2767,0.0,664.5
316,151680,-16170.117,0.475,-0.3017,0.4417,0.0,681.7
317,152160,-12243.9838,0.5925,-0.6933,0.635,0.0,681.9
318,152640,-7562.1726,0.7542,-0.9192,0.7425,0.0,682.0
319,153120,-14252.2268,0.5675,-0.2367,0.3875,0.0,682.1
320,153600,-15438.4001,0.615,-0.5058,0.45,0.0,682.3
321,154080,-8006.1594,0.4267,0.245,0.3583,0.0,682.4
322,154560,-4953.9897,0.3758,0.2442,0.3208,0.0,682.5
323,155040,-14764.2108,0.4675,-0.1933,0.3692,0.0,682.7
324,155520,-10844.0985,0.5208,-0.3625,0.5492,0.0,682.8
325,156000,-14328.3345,0.45,0.1633,0.4171,0.0,700.8
326,156480,-3291.9052,0.4025,0.3158,0.3783,0.0,701.0
327,156960,-9843.1082,0.3558,0.315,0.295,0.0,701.1
328,157440,-8043.6168,0.4542,-0.0017,0.3333,0.0,701.2
329,157920,-5096.8745,0.2667,0.2158,0.3808,0.0,701.4
330,158400,-11105.2179,0.4667,0.2483,0.31,0.0,701.5
331,158880,-9578.5782,0.5683,-0.4592,0.5408,0.0,701.7
332,159360,-9186.6726,0.6742,-0.8333,0.5888,0.0,701.8
333,159840,-7692.0759,0.2525,0.2675,0.3658,0.0,718.4
334,160320,-7119.8859,0.4158,0.1775,0.3463,0.0,718.6
335,160800,-16580.0217,0.6292,-0.9042,0.5117,0.0,718.7
336,161280,-5719.0507,0.5608,-0.4367,0.55,0.0,718.8
337,161760,-17603.8977,0.34,0.3225,0.2708,0.0,719.0
338,162240,-22210.1264,0.7542,-0.9275,0.6917,0.0,719.1
339,162720,-8485.1472,0.4692,-0.2225,0.4183,0.0,719.2
340,163200,-13418.5421,0.6583,-0.7683,0.6588,0.0,719.4
341,163680,-13138.9896,0.375,-0.1,0.375,0.0,719.5
342,164160,-12243.3632,0.2967,0.0583,0.2771,0.0,736.8
343,164640,-9735.9607,0.1842,0.2825,0.2158,0.0,737.0
344,165120,-14410.3843,0.8333,-0.9333,0.7392,0.0,737.1
345,165600,-11013.606,0.5308,-0.5317,0.4758,0.0,737.3
346,166080,-19375.9818,0.5117,-0.165,0.4346,0.0,737.4
347,166560,-10539.9143,0.2592,0.265,0.3533,0.0,737.5
348,167040,-10855.1424,0.5283,-0.4875,0.57,0.0,737.7
349,167520,-8891.5354,0.4558,0.2392,0.4087,0.0,737.8
350,168000,-10691.2462,0.3358,0.34,0.2833,0.0,754.6
351,168480,-14261.9597,0.4692,-0.4108,0.5183,0.0,754.7
352,168960,-11014.1482,0.4075,0.3175,0.3179,0.0,754.9
353,169440,-19488.2308,0.7683,-0.91,0.6883,0.0,755.0
354,169920,-16506.9832,0.6217,-0.3733,0.5842,0.0,755.1
355,170400,-15105.7424,0.6308,-0.8767,0.7183,0.0,755.3
356,170880,-9300.5468,0.395,-0.1717,0.4292,0.0,755.4
357,171360,-5960.9601,0.4258,0.3492,0.3408,0.0,755.5
358,171840,-16356.7856,0.6233,-0.8092,0.6292,0.0,755.7
359,172320,-14005.662,0.65,-0.4675,0.5675,0.0,772.9
360,172800,-13819.2365,0.485,-0.0858,0.3508,0.0,773.1
361,173280,-19375.0411,0.6408,-0.8158,0.5492,0.0,773.2
362,173760,-8454.4068,0.625,-0.2792,0.4838,0.0,773.3
363,174240,-7608.5229,0.4592,0.1342,0.3417,0.0,773.4
364,174720,-12071.807,0.4008,-0.1333,0.4192,0.0,773.6
365,175200,-16267.422,0.4908,-0.7283,0.5458,0.0,773.7
366,175680,-3869.5141,0.2475,0.1675,0.3125,0.0,773.8
367,176160,-12152.5249,0.6467,-0.3608,0.4817,0.0,788.0
368,176640,-16089.1962,0.3133,0.3233,0.2467,0.0,788.1
369,177120,-14986.9734,0.4642,0.1775,0.3738,0.0,788.2
370,177600,-6400.6299,0.5333,0.0317,0.4067,0.0,788.4
371,178080,-13294.0644,0.6883,-0.7975,0.5729,0.0,788.5
372,178560,-10849.8104,0.665,-0.8933,0.4992,0.0,788.6
373,179040,-12323.6866,0.6083,-0.6825,0.5233,0.0,788.7
374,179520,-23378.1431,0.525,-0.8042,0.6908,0.0,788.8
375,180000,-14213.0696,0.44,0.3225,0.415,0.0,788.9
376,180480,-11821.1846,0.4792,0.3567,0.4158,0.0,804.3
377,180960,-14775.7999,0.4525,0.05,0.435,0.0,804.4
378,181440,-10604.8293,0.3275,0.3275,0.2158,0.0,804.5
379,181920,-14709.3983,0.3833,-0.305,0.395,0.0,804.6
380,182400,-11618.3244,0.5,-0.5075,0.6188,0.0,804.7
381,182880,-8019.4465,0.6717,-0.6892,0.6971,0.0,804.8
382,183360,-11167.8878,0.6442,-0.6642,0.6575,0.0,804.9
383,183840,-13265.7382,0.3325,0.29,0.2417,0.0,805.0
384,184320,-7784.8972,0.345,0.3317,0.2533,0.0,805.2
385,184800,-13615.2235,0.3508,0.0208,0.4504,0.0,819.4
386,185280,-14417.5328,0.6875,-0.9017,0.7308,0.0,819.5
387,185760,-8294.3162,0.48,-0.1067,0.4046,0.0,819.6
388,186240,-10441.4995,0.43,-0.1958,0.4521,0.0,819.8
389,186720,-8031.2847,0.2367,0.29,0.3233,0.0,819.9
390,187200,-6453.4661,0.3558,0.3367,0.2508,0.0,820.0
391,187680,-3938.3416,0.2925,0.145,0.3458,0.0,820.1
392,188160,-11523.9149,0.3158,-0.0842,0.3213,0.0,820.2
