episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
237,113760,-4186.8444,0.175,-0.1113,0.1292,0.0,330.5
238,114240,-17308.7054,0.2309,-0.0203,0.1571,0.0,330.6
239,114720,-10688.2012,0.1845,-0.0871,0.1368,0.0,343.0
240,115200,-10476.6389,0.0899,-0.2028,0.1068,0.0,343.1
241,115680,-8099.2775,0.2031,-0.0635,0.1525,0.0,343.2
242,116160,-6246.8057,0.1059,-0.1906,0.0941,0.0,343.2
243,116640,-6104.2993,0.2165,-0.0456,0.1531,0.0,343.4
244,117120,-9182.4428,0.0946,-0.1965,0.0973,0.0,343.5
245,117600,-7282.2866,0.2388,-0.0182,0.16,0.0,343.6
246,118080,-8235.0788,0.0968,-0.2036,0.0996,0.0,343.7
247,118560,-6850.1656,0.1822,-0.1039,0.1336,0.0,343.8
248,119040,-8946.7264,0.2198,-0.0478,0.1482,0.0,360.4
249,119520,-6168.2615,0.1093,-0.1984,0.1028,0.0,360.5
250,120000,-15054.4483,0.1945,-0.0725,0.1436,0.0,360.6
251,120480,-14754.1118,0.1707,-0.1005,0.1429,0.0,360.7
252,120960,-8102.6973,0.2049,-0.0705,0.1448,0.0,360.8
253,121440,-15287.6598,0.2592,0.0026,0.1747,0.0,361.0
254,121920,-19011.117,0.2029,-0.0546,0.1441,0.0,361.1
255,122400,-11327.8434,0.2554,-0.0035,0.1604,0.0,361.2
256,122880,-8291.7771,0.221,-0.0485,0.1537,0.0,361.3
257,123360,-11962.9462,0.2314,-0.0251,0.1536,0.0,374.4
258,123840,-13589.1796,0.1965,-0.0785,0.1396,0.0,374.5
259,124320,-2740.3018,0.2296,-0.0327,0.1568,0.0,374.6
260,124800,-12662.2155,0.2061,-0.0461,0.1481,0.0,374.7
261,125280,-12796.2761,0.1851,-0.0942,0.144,0.0,374.8
262,125760,-11278.4851,0.2379,-0.0194,0.159,0.0,374.9
263,126240,-7087.0387,0.0905,-0.2058,0.1028,0.0,375.0
264,126720,-4791.2832,0.2452,-0.0238,0.1562,0.0,375.1
265,127200,-8822.198,0.2053,-0.0631,0.1422,0.0,387.9
266,127680,-12391.9248,0.0988,-0.2022,0.0926,0.0,388.0
267,128160,-10258.6043,0.1742,-0.1095,0.1337,0.0,388.0
268,128640,-9491.4405,0.1787,-0.0941,0.1275,0.0,388.1
269,129120,-9100.9108,0.1033,-0.1946,0.093,0.0,388.2
270,129600,-17115.0493,0.1962,-0.0714,0.1395,0.0,388.3
271,130080,-7052.4328,0.1941,-0.0786,0.1435,0.0,388.4
272,130560,-12366.7012,0.1807,-0.097,0.1373,0.0,388.5
273,131040,-15313.0946,0.2288,-0.0214,0.1618,0.0,388.6
274,131520,-10969.5558,0.102,-0.1974,0.1017,0.0,400.4
275,132000,-15520.9655,0.2139,-0.048,0.1549,0.0,400.5
276,132480,-9153.2957,0.1055,-0.197,0.0977,0.0,400.6
277,132960,-10443.3852,0.2642,0.0215,0.1698,0.0,400.7
278,133440,-5742.9702,0.104,-0.202,0.0949,0.0,400.8
279,133920,-12910.0291,0.2191,-0.0272,0.1443,0.0,400.9
280,134400,-6927.2743,0.1705,-0.1071,0.1357,0.0,401.0
281,134880,-5765.1287,0.2653,0.0297,0.1689,0.0,401.1
282,135360,-4993.9831,0.1769,-0.1118,0.1431,0.0,411.8
283,135840,-4373.304,0.2082,-0.0706,0.1429,0.0,411.9
284,136320,-12204.3038,0.27,0.0239,0.1677,0.0,412.0
285,136800,-17053.9657,0.1987,-0.0844,0.139,0.0,412.1
286,137280,-11948.7264,0.1029,-0.2008,0.0965,0.0,412.2
287,137760,-15406.1044,0.2319,-0.0193,0.1595,0.0,412.3
288,138240,-15427.5386,0.1534,-0.1335,0.13,0.0,412.4
289,138720,-4005.1962,0.1007,-0.206,0.1038,0.0,412.4
290,139200,-3963.745,0.0988,-0.1934,0.1004,0.0,412.5
291,139680,-13628.3593,0.1597,-0.1145,0.128,0.0,424.6
292,140160,-14676.4096,0.1918,-0.092,0.1464,0.0,424.7
293,140640,-12053.3973,0.2275,-0.0446,0.1491,0.0,424.8
294,141120,-7650.3041,0.2123,-0.0696,0.1497,0.0,424.9
295,141600,-14031.1514,0.1781,-0.0833,0.1352,0.0,425.0
296,142080,-11379.7273,0.2689,0.0156,0.1681,0.0,425.0
297,142560,-13014.74,0.1748,-0.1104,0.1361,0.0,425.1
298,143040,-6021.7883,0.1776,-0.1153,0.1335,0.0,425.2
